yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote
1961,LEF,6.420999999999999,0.0,37.992,7,83.684,-41.574428571428584,-23.66,11.954857142857142
1961,LIB,8.352,4.694,60.672,12,125.758,9.334166666666667,4.61,10.479833333333334
1961,NAT,9.843,0.0,7.196,3,13.593,11.703999999999999,10.25,4.531
1961,SIP,0.0,0.0,14.6,1,2.1519999999999997,-6.3,3.36,2.1519999999999997
1961,SOC,14.262000000000002,3.044,69.244,13,341.78099999999995,-21.588923076923077,-14.0,26.29084615384615
1962,AGR,2.337,1.092,7.745,3,38.079,0.9006666666666666,1.01,12.693
1962,CHR,26.025,11.948,43.062000000000005,10,302.449,2.7053999999999996,6.13,30.2449
1962,CON,2.1,0.8999999999999999,20.255000000000003,6,138.159,27.763666666666666,11.64,23.0265
1962,ETH,3.6189999999999998,0.0,9.16,2,9.879,4.4445,-9.04,4.9395
1962,LEF,4.84,0.7000000000000001,36.882,7,85.532,-36.12285714285714,-23.66,12.218857142857143
1962,LIB,9.852,5.694,48.672,12,123.581,6.975833333333334,4.61,10.298416666666666
1962,NAT,9.643,0.0,6.9959999999999996,3,12.933,-3.5626666666666673,10.25,4.311
1962,SIP,0.0,0.0,14.6,1,2.1519999999999997,-6.3,3.36,2.1519999999999997
1962,SOC,17.662,3.044,72.767,13,336.912,-24.487615384615385,-14.0,25.91630769230769
1963,AGR,2.337,1.092,7.745,3,38.079,0.9006666666666666,1.01,12.693
1963,CHR,35.131,11.357000000000001,52.154,10,298.365,-0.42550000000000027,6.13,29.8365
1963,CON,2.1,0.8999999999999999,20.255000000000003,6,138.159,27.763666666666666,11.64,23.0265
1963,ETH,3.6189999999999998,0.0,9.16,2,9.879,4.4445,-9.04,4.9395
1963,LEF,4.777,0.7000000000000001,35.542,7,88.107,-35.77128571428572,-23.66,12.586714285714285
1963,LIB,13.852,7.294,46.74699999999999,12,125.07600000000001,4.800000000000001,4.61,10.423
1963,NAT,9.643,0.0,5.7219999999999995,3,13.274999999999999,-8.17,10.25,4.425
1963,SIP,0.0,0.0,14.6,1,2.1519999999999997,-6.3,3.36,2.1519999999999997
1963,SOC,22.295999999999996,3.7779999999999996,75.133,13,335.72499999999997,-25.335307692307694,-14.0,25.824999999999996
1964,AGR,3.841,5.773,7.396,3,37.649,-5.780333333333334,1.01,12.549666666666667
1964,CHR,35.937,12.437000000000001,54.437000000000005,10,295.16499999999996,-3.4952999999999994,6.13,29.516499999999997
1964,CON,2.1,2.1,17.355,6,137.464,25.21366666666667,11.64,22.910666666666668
1964,ETH,3.6189999999999998,0.0,9.16,2,9.879,4.4445,-9.04,4.9395
1964,LEF,5.277,0.7000000000000001,36.376999999999995,7,91.78000000000002,-25.940142857142856,-23.66,13.111428571428574
1964,LIB,16.588,8.381,46.18299999999999,12,114.89600000000002,-2.8517499999999996,4.61,9.574666666666667
1964,NAT,9.643,0.0,5.7219999999999995,3,13.274999999999999,-8.17,10.25,4.425
1964,SIP,0.0,0.0,3.8,1,1.3019999999999998,15.3,3.36,1.3019999999999998
1964,SOC,25.813,2.775,64.704,13,337.94899999999996,-22.210307692307694,-14.0,25.99607692307692
1965,AGR,3.841,5.773,7.396,2,36.135,-8.6705,1.01,18.0675
1965,CHR,32.594,6.929,62.208999999999996,10,292.495,-5.020100000000001,6.13,29.2495
1965,CON,2.1,2.1,17.355,6,141.311,19.580333333333332,11.64,23.551833333333335
1965,ETH,5.300999999999999,1.376,10.806,3,14.178999999999998,2.158666666666666,-9.04,4.726333333333333
1965,LEF,5.277,0.7000000000000001,36.376999999999995,7,91.78000000000002,-25.940142857142856,-23.66,13.111428571428574
1965,LIB,17.842000000000002,8.539,43.772,12,120.901,-2.0779166666666664,4.61,10.075083333333334
1965,NAT,9.643,0.0,5.7219999999999995,3,12.899999999999999,-8.17,10.25,4.3
1965,SIP,0.0,0.0,3.8,1,1.3019999999999998,15.3,3.36,1.3019999999999998
1965,SOC,48.54500000000001,14.439,57.87400000000001,13,336.301,-21.890076923076926,-14.0,25.869307692307693
1966,AGR,4.277,6.864000000000001,11.331,2,34.406,-15.536999999999999,1.01,17.203
1966,CHR,26.293999999999997,6.929,63.309,10,295.412,-5.5601,6.13,29.541199999999996
1966,CON,4.76,1.964,14.651000000000002,6,139.085,21.569000000000003,11.64,23.180833333333336
1966,ETH,3.7739999999999996,1.376,6.523999999999999,3,13.742999999999999,-18.272333333333332,-9.04,4.5809999999999995
1966,LEF,3.9770000000000003,0.7000000000000001,44.637,7,95.629,-34.771142857142856,-23.66,13.661285714285714
1966,LIB,19.864,9.079999999999998,46.068,13,123.468,-2.791769230769231,4.61,9.497538461538461
1966,NAT,9.643,0.752,26.611000000000004,4,12.236,0.30374999999999996,10.25,3.059
1966,SIP,1.429,2.8569999999999998,7.143,1,0.7120000000000001,10.0,3.36,0.7120000000000001
1966,SOC,49.645,15.039,72.903,13,337.132,-19.760384615384616,-14.0,25.933230769230768
1967,AGR,4.277,6.864000000000001,11.331,2,34.406,-15.536999999999999,1.01,17.203
1967,CHR,21.093999999999998,8.829,47.009,10,296.997,-1.6300999999999994,6.13,29.6997
1967,CON,3.96,1.6640000000000001,21.751,6,130.08700000000002,21.802333333333333,11.64,21.68116666666667
1967,ETH,3.7739999999999996,1.376,6.523999999999999,3,13.742999999999999,-18.272333333333332,-9.04,4.5809999999999995
1967,LEF,4.477,1.1,40.537,7,96.26,-36.85685714285715,-23.66,13.751428571428573
1967,LIB,23.363999999999997,10.780000000000001,62.467999999999996,14,128.49800000000002,-5.120928571428572,4.61,9.178428571428572
1967,NAT,9.643,0.752,26.611000000000004,4,12.236,0.30374999999999996,10.25,3.059
1967,SIP,1.429,2.8569999999999998,7.143,1,0.7120000000000001,10.0,3.36,0.7120000000000001
1967,SOC,48.34499999999999,17.038999999999998,76.30300000000003,13,331.614,-18.41423076923077,-14.0,25.50876923076923
1968,AGR,2.7729999999999997,6.383000000000001,16.080000000000002,2,36.904,-14.3155,1.01,18.452
1968,CHR,33.205999999999996,14.485000000000001,40.596000000000004,11,293.29200000000003,-4.640090909090909,6.13,26.662909090909093
1968,CON,3.96,2.7640000000000002,25.951,6,134.651,15.969000000000001,11.64,22.441833333333335
1968,ETH,0.762,2.184,9.059999999999999,4,21.663,-21.752499999999998,-9.04,5.41575
1968,LEF,4.699999999999999,5.138999999999999,54.709,8,93.404,-41.994125,-23.66,11.6755
1968,LIB,30.299999999999997,8.977,49.495999999999995,14,134.11599999999999,-2.8221428571428575,4.61,9.579714285714285
1968,NAT,9.643,0.752,26.611000000000004,4,11.581,-0.6992500000000001,10.25,2.89525
1968,SIP,0.0,0.0,1.3,1,0.74,9.1,3.36,0.74
1968,SOC,40.234,21.947000000000003,74.72699999999999,12,318.189,-14.847666666666669,-14.0,26.51575
1969,AGR,2.7729999999999997,6.383000000000001,16.080000000000002,2,36.904,-14.3155,1.01,18.452
1969,CHR,33.852999999999994,12.927000000000001,38.23800000000001,11,291.81300000000005,-4.902363636363637,6.13,26.52845454545455
1969,CON,5.66,2.7640000000000002,25.951,6,132.637,21.802333333333337,11.64,22.106166666666667
1969,ETH,0.762,2.184,9.059999999999999,4,21.663,-21.752499999999998,-9.04,5.41575
1969,LEF,4.699999999999999,5.138999999999999,54.709,8,93.404,-41.994125,-23.66,11.6755
1969,LIB,29.746,6.619000000000001,48.74799999999999,14,130.397,-4.222857142857143,4.61,9.314071428571427
1969,NAT,1.8,0.752,22.689,3,10.829,0.375,10.25,3.609666666666667
1969,SIP,0.0,0.0,1.3,1,0.74,9.1,3.36,0.74
1969,SOC,26.526000000000003,8.936,87.703,12,323.216,-15.290333333333336,-14.0,26.93466666666667
1970,AGR,0.0,9.625,13.379999999999999,2,37.04,-15.2645,1.01,18.52
1970,CHR,36.452999999999996,14.827,37.961000000000006,12,289.28400000000005,1.026666666666668,6.13,24.107000000000003
1970,CON,8.319,5.928000000000001,30.447000000000003,6,135.56,18.407833333333333,11.64,22.593333333333334
1970,ETH,0.762,5.375,12.294999999999998,4,21.381,-18.59125,-9.04,5.34525
1970,LEF,9.211,17.05,62.27900000000001,8,90.53099999999999,-41.52275,-23.66,11.316374999999999
1970,LIB,29.746,25.003999999999998,58.452999999999996,14,131.834,-2.275285714285715,4.61,9.416714285714287
1970,NAT,1.8,0.752,27.789,3,20.458,-1.0749999999999993,10.25,6.819333333333333
1970,SIP,0.0,0.0,1.3,1,0.74,9.1,3.36,0.74
1970,SOC,20.526000000000003,10.036000000000001,79.491,11,317.91600000000005,-25.858545454545457,-14.0,28.901454545454552
1971,AGR,0.0,9.625,13.379999999999999,2,37.04,-15.2645,1.01,18.52
1971,CHR,53.291000000000004,34.512,42.876999999999995,14,285.51800000000003,-2.7209999999999988,6.13,20.39414285714286
1971,CON,11.219000000000001,9.628,26.147,6,131.895,22.4245,11.64,21.9825
1971,ETH,5.091,18.292,15.779,4,28.04,-19.52825,-9.04,7.01
1971,LEF,6.911,18.55,66.179,8,93.44899999999998,-34.84775,-23.66,11.681124999999998
1971,LIB,45.491,50.22200000000001,52.56100000000001,14,123.93699999999998,-7.14457142857143,4.61,8.852642857142856
1971,NAT,0.4,2.652,21.389000000000003,3,20.389,7.824999999999999,10.25,6.796333333333333
1971,SIP,0.0,0.0,6.7,1,1.742,26.6,3.36,1.742
1971,SOC,19.455000000000002,27.070000000000004,115.31500000000001,12,324.785,-28.781333333333336,-14.0,27.065416666666668
1972,AGR,0.0,5.2,19.066,2,36.329,-5.172499999999999,1.01,18.1645
1972,CHR,51.809999999999995,50.813,52.531,14,278.68,-2.394142857142857,6.13,19.905714285714286
1972,CON,5.8999999999999995,7.5,44.23199999999999,6,131.439,27.566333333333336,11.64,21.906499999999998
1972,ETH,5.091,21.483999999999998,19.014,4,27.700000000000003,-16.367,-9.04,6.925000000000001
1972,LEF,9.056999999999999,17.016,62.443,8,94.13,-28.46725,-23.66,11.76625
1972,LIB,32.525,49.36600000000001,59.825,14,126.16299999999998,-4.919785714285715,4.61,9.011642857142856
1972,NAT,0.4,1.9,27.92000000000001,3,23.282,3.105,10.25,7.760666666666666
1972,SIP,0.0,0.0,6.7,1,1.742,26.6,3.36,1.742
1972,SOC,23.713000000000008,44.86,110.16199999999999,13,336.287,-32.22723076923077,-14.0,25.868230769230767
1973,AGR,0.6,6.9,17.965999999999998,2,41.510999999999996,-9.8725,1.01,20.755499999999998
1973,CHR,52.709999999999994,56.013000000000005,75.531,15,288.40900000000005,-2.6411999999999995,6.13,19.22726666666667
1973,CON,5.5,11.200000000000001,64.832,7,123.853,26.699714285714286,11.64,17.693285714285715
1973,ETH,5.091,21.483999999999998,19.014,4,27.700000000000003,-16.367,-9.04,6.925000000000001
1973,LEF,6.157,16.216,40.143,8,95.11699999999999,-24.82975,-23.66,11.889624999999999
1973,LIB,28.924999999999997,50.96600000000001,55.525,13,106.22099999999999,0.9094615384615385,4.61,8.170846153846153
1973,NAT,0.4,10.5,30.42000000000001,4,39.176,5.37875,10.25,9.794
1973,SIP,0.0,0.0,5.2,1,2.8789999999999996,10.4,3.36,2.8789999999999996
1973,SOC,18.113000000000003,43.86,110.16200000000002,13,328.78000000000003,-26.904153846153843,-14.0,25.290769230769232
1974,AGR,0.6,6.9,17.965999999999998,2,41.510999999999996,-9.8725,1.01,20.755499999999998
1974,CHR,80.157,55.608,85.47200000000001,17,357.89899999999994,-3.2348235294117647,6.13,21.05288235294117
1974,CON,5.5,11.200000000000001,64.832,7,123.853,26.699714285714286,11.64,17.693285714285715
1974,ETH,8.512000000000002,22.942,30.17,4,25.221000000000004,-16.96825,-9.04,6.305250000000001
1974,LEF,6.5,16.593,54.558,9,96.737,-26.166444444444448,-23.66,10.748555555555555
1974,LIB,17.31,48.622,51.574999999999996,13,111.531,1.75076923076923,4.61,8.579307692307692
1974,NAT,0.4,10.5,30.42000000000001,4,39.176,5.37875,10.25,9.794
1974,SIP,0.0,0.0,5.2,1,2.8789999999999996,10.4,3.36,2.8789999999999996
1974,SOC,26.016000000000005,44.38900000000001,128.838,14,337.77299999999997,-29.574,-14.0,24.126642857142855
1975,AGR,0.6,11.778,14.956,2,42.730000000000004,-32.122,1.01,21.365000000000002
1975,CHR,78.437,57.587999999999994,76.388,18,368.00499999999994,-4.785055555555555,6.13,20.444722222222218
1975,CON,9.687,9.600000000000001,60.934,8,143.77800000000002,15.099375,11.64,17.972250000000003
1975,ETH,8.512000000000002,24.022,27.777,4,24.872,-13.420750000000002,-9.04,6.218
1975,LEF,6.5,21.348,70.35499999999999,11,113.03,-34.55536363636364,-23.66,10.275454545454545
1975,LIB,15.81,49.122,43.575,13,117.64999999999999,2.0815384615384613,4.61,9.049999999999999
1975,NAT,4.0,11.600000000000001,30.073,4,31.250000000000004,6.10675,10.25,7.812500000000001
1975,SIP,0.0,0.0,2.4,1,1.774,-2.4,3.36,1.774
1975,SOC,32.624,47.86700000000001,136.25300000000001,16,386.647,-31.340999999999998,-14.0,24.1654375
1976,AGR,0.7000000000000001,22.078,14.856000000000002,2,41.714,-29.222,1.01,20.857
1976,CHR,80.19,54.221,76.99400000000001,18,380.294,-4.270722222222222,6.13,21.127444444444443
1976,CON,12.7,4.0,41.608999999999995,8,141.963,12.701375,11.64,17.745375
